"インデックス","パス","ファイル名","日付","カテゴリ1","カテゴリ2","URL","詳細情報"
"1","./image/illustration/beast/20210817.jpg","20210817.jpg","20210817","illustration","BEA*TR*IL","beast","ビーストレイル"
"2","./image/illustration/original/20170119.png","20170119.jpg","20170119","illustration","Original","original","ウサギ"
"3","./image/illustration/original/20181029.png","20181029.jpg","20181029","illustration","Original","original","ねこ"
"4","./image/illustration/original/20200821.jpeg","20200821.jpg","20200821","illustration","Original","original","ウサギ"
